fecha,estacion,cape,cins
 06 Sep 2015, 72440, 541.84, -88.42
 07 Sep 2015, 72440, 402.94, -120.99
 08 Sep 2015, 72440, 413.65, -152.42
 09 Sep 2015, 72440, 324.10, -32.96
 10 Sep 2015, 72440, 1727.65, -8.31
 11 Sep 2015, 72440, 11.63, 0.00
 12 Sep 2015, 72440, 0.00, 0.00
 13 Sep 2015, 72440, 0.00, 0.00
 14 Sep 2015, 72440, 0.00, 0.00
 15 Sep 2015, 72440, 0.00, 0.00
 16 Sep 2015, 72440, 0.00, 0.00
 17 Sep 2015, 72440, 384.39, -142.28
 18 Sep 2015, 72440, 452.29, -340.93
 19 Sep 2015, 72440, 0.00, 0.00
 20 Sep 2015, 72440, 0.00, 0.00
 21 Sep 2015, 72440, 0.00, 0.00
 22 Sep 2015, 72440, 0.00, 0.00
 23 Sep 2015, 72440, 0.00, 0.00
 24 Sep 2015, 72440, 0.00, 0.00
 25 Sep 2015, 72440, 0.00, 0.00
 26 Sep 2015, 72440, 0.00, 0.00
 27 Sep 2015, 72440, 0.05, 0.00
 28 Sep 2015, 72440, 0.00, 0.00
 29 Sep 2015, 72440, 240.55, -33.99
 30 Sep 2015, 72440, 0.00, 0.00
 01 Oct 2015, 72440, 0.00, 0.00
 02 Oct 2015, 72440, 0.00, 0.00
 03 Oct 2015, 72440, 0.00, 0.00
 04 Oct 2015, 72440, 0.00, 0.00
 05 Oct 2015, 72440, 0.00, 0.00
 06 Oct 2015, 72440, 0.00, 0.00
 07 Oct 2015, 72440, 0.91, -100.50
 08 Oct 2015, 72440, 0.00, 0.00
 09 Oct 2015, 72440, 0.00, 0.00
 10 Oct 2015, 72440, 0.00, 0.00
 11 Oct 2015, 72440, 0.00, 0.00
 12 Oct 2015, 72440, 0.00, 0.00
 13 Oct 2015, 72440, 0.00, 0.00
 14 Oct 2015, 72440, 0.00, 0.00
 15 Oct 2015, 72440, 0.00, 0.00
 16 Oct 2015, 72440, 0.00, 0.00
 17 Oct 2015, 72440, 0.00, 0.00
 18 Oct 2015, 72440, 0.00, 0.00
